task_id,strategy,family,model,k_idx,pass,msg
HumanEval/145,CoT,DeepSeek,deepseek-coder:1.3b,0,0,"FAIL: unindent does not match any outer indentation level (<string>, line 5)"
HumanEval/145,CoT,DeepSeek,deepseek-coder:1.3b,1,0,"FAIL: '(' was never closed (<string>, line 2)"
HumanEval/145,CoT,DeepSeek,deepseek-coder:1.3b,2,0,FAIL: name 'item' is not defined
HumanEval/145,Checklist,DeepSeek,deepseek-coder:1.3b,0,0,"FAIL: unmatched ']' (<string>, line 2)"
HumanEval/145,Checklist,DeepSeek,deepseek-coder:1.3b,1,0,"FAIL: closing parenthesis ']' does not match opening parenthesis '(' (<string>, line 3)"
HumanEval/145,Checklist,DeepSeek,deepseek-coder:1.3b,2,0,"FAIL: Invalid star expression (<string>, line 7)"
HumanEval/50,CoT,Qwen,qwen2.5-coder:3b,0,1,PASS
HumanEval/50,CoT,Qwen,qwen2.5-coder:3b,1,1,PASS
HumanEval/50,CoT,Qwen,qwen2.5-coder:3b,2,1,PASS
HumanEval/50,Checklist,Qwen,qwen2.5-coder:3b,0,1,PASS
HumanEval/50,Checklist,Qwen,qwen2.5-coder:3b,1,1,PASS
HumanEval/50,Checklist,Qwen,qwen2.5-coder:3b,2,1,PASS
HumanEval/50,CoT,DeepSeek,deepseek-coder:1.3b,0,0,"FAIL: unexpected indent (<string>, line 7)"
HumanEval/50,CoT,DeepSeek,deepseek-coder:1.3b,1,0,"FAIL: unexpected indent (<string>, line 3)"
HumanEval/50,CoT,DeepSeek,deepseek-coder:1.3b,2,0,"FAIL: unexpected indent (<string>, line 3)"
HumanEval/50,Checklist,DeepSeek,deepseek-coder:1.3b,0,1,PASS
HumanEval/50,Checklist,DeepSeek,deepseek-coder:1.3b,1,1,PASS
HumanEval/50,Checklist,DeepSeek,deepseek-coder:1.3b,2,0,"FAIL: unexpected indent (<string>, line 11)"
HumanEval/125,Self-Repair,DeepSeek,deepseek-coder:1.3b,0,0,"FAIL: unexpected indent (<string>, line 9)"
HumanEval/145,Self-Repair,DeepSeek,deepseek-coder:1.3b,0,0,"FAIL: closing parenthesis ']' does not match opening parenthesis '(' (<string>, line 12)"
